PERMNO,date,TICKER,COMNAM,PRC,CFACPR
61241,20211126,AMD,ADVANCED MICRO DEVICES INC,154.81000,1
61241,20211129,AMD,ADVANCED MICRO DEVICES INC,161.91000,1
61241,20211130,AMD,ADVANCED MICRO DEVICES INC,158.37000,1
61241,20211201,AMD,ADVANCED MICRO DEVICES INC,149.11000,1
61241,20211202,AMD,ADVANCED MICRO DEVICES INC,150.67999,1
61241,20211203,AMD,ADVANCED MICRO DEVICES INC,144.00999,1
61241,20211206,AMD,ADVANCED MICRO DEVICES INC,139.06000,1
61241,20211207,AMD,ADVANCED MICRO DEVICES INC,144.85001,1
61241,20211208,AMD,ADVANCED MICRO DEVICES INC,145.24001,1
61241,20211209,AMD,ADVANCED MICRO DEVICES INC,138.10001,1
61241,20211210,AMD,ADVANCED MICRO DEVICES INC,138.55000,1
61241,20211213,AMD,ADVANCED MICRO DEVICES INC,133.80000,1
61241,20211214,AMD,ADVANCED MICRO DEVICES INC,135.60001,1
61241,20211215,AMD,ADVANCED MICRO DEVICES INC,146.50000,1
61241,20211216,AMD,ADVANCED MICRO DEVICES INC,138.64000,1
61241,20211217,AMD,ADVANCED MICRO DEVICES INC,137.75000,1
61241,20211220,AMD,ADVANCED MICRO DEVICES INC,135.80000,1
61241,20211221,AMD,ADVANCED MICRO DEVICES INC,144.25000,1
61241,20211222,AMD,ADVANCED MICRO DEVICES INC,143.88000,1
61241,20211223,AMD,ADVANCED MICRO DEVICES INC,146.14000,1
61241,20211227,AMD,ADVANCED MICRO DEVICES INC,154.36000,1
61241,20211228,AMD,ADVANCED MICRO DEVICES INC,153.14999,1
61241,20211229,AMD,ADVANCED MICRO DEVICES INC,148.25999,1
61241,20211230,AMD,ADVANCED MICRO DEVICES INC,145.14999,1
61241,20211231,AMD,ADVANCED MICRO DEVICES INC,143.89999,1
61241,20220103,AMD,ADVANCED MICRO DEVICES INC,150.24001,1
61241,20220104,AMD,ADVANCED MICRO DEVICES INC,144.42000,1
61241,20220105,AMD,ADVANCED MICRO DEVICES INC,136.14999,1
61241,20220106,AMD,ADVANCED MICRO DEVICES INC,136.23000,1
61241,20220107,AMD,ADVANCED MICRO DEVICES INC,132.00000,1
61241,20220110,AMD,ADVANCED MICRO DEVICES INC,132.00000,1
61241,20220111,AMD,ADVANCED MICRO DEVICES INC,137.31000,1
61241,20220112,AMD,ADVANCED MICRO DEVICES INC,137.47000,1
61241,20220113,AMD,ADVANCED MICRO DEVICES INC,132.74001,1
61241,20220114,AMD,ADVANCED MICRO DEVICES INC,136.88000,1
61241,20220118,AMD,ADVANCED MICRO DEVICES INC,131.92999,1
61241,20220119,AMD,ADVANCED MICRO DEVICES INC,128.27000,1
61241,20220120,AMD,ADVANCED MICRO DEVICES INC,121.89000,1
61241,20220121,AMD,ADVANCED MICRO DEVICES INC,118.81000,1
61241,20220124,AMD,ADVANCED MICRO DEVICES INC,116.53000,1
61241,20220125,AMD,ADVANCED MICRO DEVICES INC,111.13000,1
61241,20220126,AMD,ADVANCED MICRO DEVICES INC,110.71000,1
61241,20220127,AMD,ADVANCED MICRO DEVICES INC,102.60000,1
61241,20220128,AMD,ADVANCED MICRO DEVICES INC,105.24000,1
61241,20220131,AMD,ADVANCED MICRO DEVICES INC,114.25000,1
61241,20220201,AMD,ADVANCED MICRO DEVICES INC,116.78000,1
61241,20220202,AMD,ADVANCED MICRO DEVICES INC,122.76000,1
61241,20220203,AMD,ADVANCED MICRO DEVICES INC,120.08000,1
61241,20220204,AMD,ADVANCED MICRO DEVICES INC,123.60000,1
61241,20220207,AMD,ADVANCED MICRO DEVICES INC,123.67000,1
61241,20220208,AMD,ADVANCED MICRO DEVICES INC,128.23000,1
61241,20220209,AMD,ADVANCED MICRO DEVICES INC,132.85001,1
61241,20220210,AMD,ADVANCED MICRO DEVICES INC,125.77000,1
61241,20220211,AMD,ADVANCED MICRO DEVICES INC,113.18000,1
61241,20220214,AMD,ADVANCED MICRO DEVICES INC,114.27000,1
61241,20220215,AMD,ADVANCED MICRO DEVICES INC,121.47000,1
61241,20220216,AMD,ADVANCED MICRO DEVICES INC,117.69000,1
61241,20220217,AMD,ADVANCED MICRO DEVICES INC,112.37000,1
